"filename", "language", "Makefile", "TypeScript", "CMake", "Log", "C++", "C", "CMake Cache", "Shell Script", "comment", "blank", "total"
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/any_io_executor.hpp", "C++", 0, 0, 0, 0, 196, 0, 0, 0, 54, 54, 304
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associated_allocator.hpp", "C++", 0, 0, 0, 0, 102, 0, 0, 0, 46, 30, 178
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associated_cancellation_slot.hpp", "C++", 0, 0, 0, 0, 107, 0, 0, 0, 42, 30, 179
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associated_executor.hpp", "C++", 0, 0, 0, 0, 136, 0, 0, 0, 51, 36, 223
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associator.hpp", "C++", 0, 0, 0, 0, 16, 0, 0, 0, 10, 10, 36
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/async_result.hpp", "C++", 0, 0, 0, 0, 1010, 0, 0, 0, 78, 184, 1272
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/awaitable.hpp", "C++", 0, 0, 0, 0, 88, 0, 0, 0, 22, 33, 143
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_datagram_socket.hpp", "C++", 0, 0, 0, 0, 468, 0, 0, 0, 809, 75, 1352
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_deadline_timer.hpp", "C++", 0, 0, 0, 0, 221, 0, 0, 0, 441, 48, 710
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_file.hpp", "C++", 0, 0, 0, 0, 337, 0, 0, 0, 435, 58, 830
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_io_object.hpp", "C++", 0, 0, 0, 0, 174, 0, 0, 0, 71, 46, 291
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_random_access_file.hpp", "C++", 0, 0, 0, 0, 251, 0, 0, 0, 389, 50, 690
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_raw_socket.hpp", "C++", 0, 0, 0, 0, 465, 0, 0, 0, 803, 75, 1343
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_readable_pipe.hpp", "C++", 0, 0, 0, 0, 226, 0, 0, 0, 258, 46, 530
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_seq_packet_socket.hpp", "C++", 0, 0, 0, 0, 280, 0, 0, 0, 486, 51, 817
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_serial_port.hpp", "C++", 0, 0, 0, 0, 365, 0, 0, 0, 508, 67, 940
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_signal_set.hpp", "C++", 0, 0, 0, 0, 211, 0, 0, 0, 343, 39, 593
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_socket.hpp", "C++", 0, 0, 0, 0, 584, 0, 0, 0, 1258, 95, 1937
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_socket_acceptor.hpp", "C++", 0, 0, 0, 0, 882, 0, 0, 0, 1690, 115, 2687
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_socket_iostream.hpp", "C++", 0, 0, 0, 0, 233, 0, 0, 0, 121, 54, 408
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_socket_streambuf.hpp", "C++", 0, 0, 0, 0, 445, 0, 0, 0, 154, 89, 688
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_stream_file.hpp", "C++", 0, 0, 0, 0, 296, 0, 0, 0, 395, 52, 743
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_stream_socket.hpp", "C++", 0, 0, 0, 0, 356, 0, 0, 0, 742, 59, 1157
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_streambuf.hpp", "C++", 0, 0, 0, 0, 222, 0, 0, 0, 184, 47, 453
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_streambuf_fwd.hpp", "C++", 0, 0, 0, 0, 16, 0, 0, 0, 9, 12, 37
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_waitable_timer.hpp", "C++", 0, 0, 0, 0, 270, 0, 0, 0, 503, 55, 828
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_writable_pipe.hpp", "C++", 0, 0, 0, 0, 226, 0, 0, 0, 254, 46, 526
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/bind_allocator.hpp", "C++", 0, 0, 0, 0, 515, 0, 0, 0, 106, 102, 723
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/bind_cancellation_slot.hpp", "C++", 0, 0, 0, 0, 516, 0, 0, 0, 107, 102, 725
"/home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/bind_executor.hpp", "C++", 0, 0, 0, 0, 552, 0, 0, 0, 108, 111, 771
