Date : 2022-07-12 11:22:12
Directory : /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio
Total : 676 files,  129162 codes, 45034 comments, 26850 blanks, all 201046 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        655 |    127,063 |     44,856 |     26,384 |    198,303 |
| C            |          1 |        633 |         61 |        135 |        829 |
| CMake        |         13 |        434 |          0 |         96 |        530 |
| Log          |          1 |        417 |          0 |         31 |        448 |
| CMake Cache  |          1 |        312 |          0 |         69 |        381 |
| Makefile     |          2 |        291 |        117 |        133 |        541 |
| Shell Script |          1 |          8 |          0 |          0 |          8 |
| TypeScript   |          2 |          4 |          0 |          2 |          6 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        676 |    129,162 |     45,034 |     26,850 |    201,046 |
| app                                                                                                                                    |        653 |    126,400 |     44,793 |     26,245 |    197,438 |
| app/infrastructure                                                                                                                     |        653 |    126,400 |     44,793 |     26,245 |    197,438 |
| app/infrastructure/common                                                                                                              |        653 |    126,400 |     44,793 |     26,245 |    197,438 |
| app/infrastructure/common/asio                                                                                                         |        652 |    110,750 |     40,952 |     23,644 |    175,346 |
| app/infrastructure/common/asio/detail                                                                                                  |        281 |     41,699 |      6,666 |      9,268 |     57,633 |
| app/infrastructure/common/asio/detail/impl                                                                                             |         57 |     14,668 |      1,412 |      2,585 |     18,665 |
| app/infrastructure/common/asio/execution                                                                                               |         37 |     12,237 |      1,315 |      2,380 |     15,932 |
| app/infrastructure/common/asio/execution/detail                                                                                        |          6 |        758 |         56 |        161 |        975 |
| app/infrastructure/common/asio/execution/impl                                                                                          |          2 |         39 |         18 |         21 |         78 |
| app/infrastructure/common/asio/experimental                                                                                            |         42 |      7,521 |      1,256 |      1,555 |     10,332 |
| app/infrastructure/common/asio/experimental/detail                                                                                     |         13 |      1,932 |        210 |        389 |      2,531 |
| app/infrastructure/common/asio/experimental/detail/impl                                                                                |          1 |        537 |         15 |         60 |        612 |
| app/infrastructure/common/asio/experimental/impl                                                                                       |         10 |      2,429 |        152 |        505 |      3,086 |
| app/infrastructure/common/asio/generic                                                                                                 |          7 |        534 |        239 |        163 |        936 |
| app/infrastructure/common/asio/generic/detail                                                                                          |          2 |        158 |         36 |         51 |        245 |
| app/infrastructure/common/asio/generic/detail/impl                                                                                     |          1 |         79 |          9 |         23 |        111 |
| app/infrastructure/common/asio/impl                                                                                                    |         41 |     14,695 |        753 |      2,184 |     17,632 |
| app/infrastructure/common/asio/ip                                                                                                      |         40 |      4,489 |      2,271 |      1,162 |      7,922 |
| app/infrastructure/common/asio/ip/detail                                                                                               |          3 |        697 |         99 |        113 |        909 |
| app/infrastructure/common/asio/ip/detail/impl                                                                                          |          1 |        170 |          9 |         21 |        200 |
| app/infrastructure/common/asio/ip/impl                                                                                                 |         12 |      1,226 |        111 |        280 |      1,617 |
| app/infrastructure/common/asio/local                                                                                                   |          6 |        468 |        173 |        153 |        794 |
| app/infrastructure/common/asio/local/detail                                                                                            |          2 |        173 |         42 |         57 |        272 |
| app/infrastructure/common/asio/local/detail/impl                                                                                       |          1 |         95 |         12 |         25 |        132 |
| app/infrastructure/common/asio/posix                                                                                                   |          5 |        518 |        758 |        133 |      1,409 |
| app/infrastructure/common/asio/ssl                                                                                                     |         29 |      3,767 |      1,697 |        888 |      6,352 |
| app/infrastructure/common/asio/ssl/detail                                                                                              |         14 |      1,405 |        280 |        360 |      2,045 |
| app/infrastructure/common/asio/ssl/detail/impl                                                                                         |          2 |        434 |         33 |         81 |        548 |
| app/infrastructure/common/asio/ssl/impl                                                                                                |          6 |      1,473 |         80 |        231 |      1,784 |
| app/infrastructure/common/asio/traits                                                                                                  |         31 |      2,541 |        347 |        806 |      3,694 |
| app/infrastructure/common/asio/ts                                                                                                      |          8 |        260 |         75 |        125 |        460 |
| app/infrastructure/common/asio/windows                                                                                                 |          9 |        873 |      1,037 |        226 |      2,136 |
| app/infrastructure/common/nlohmann                                                                                                     |          1 |     15,650 |      3,841 |      2,601 |     22,092 |
| app/infrastructure/common/nlohmann/nlohmann                                                                                            |          1 |     15,650 |      3,841 |      2,601 |     22,092 |
| demo                                                                                                                                   |         21 |      2,712 |        241 |        599 |      3,552 |
| demo/CMakeFiles                                                                                                                        |         11 |      1,963 |        124 |        363 |      2,450 |
| demo/CMakeFiles/3.23.2                                                                                                                 |          5 |      1,383 |        124 |        312 |      1,819 |
| demo/CMakeFiles/3.23.2/CompilerIdC                                                                                                     |          1 |        633 |         61 |        135 |        829 |
